Issue Type,Summary,Description,Priority,Story Points,Epic Link,Assignee,Labels,Sprint,Status,Component
Task,2FA 구현,"TOTP 기반 2단계 인증 (pyotp), QR 코드 생성",Low,3,사용자 인증 시스템,Backend Developer Agent,auth;2fa,Sprint 1,To Do,Backend
Story,계좌 관리 시스템,"계좌 생성, 잔고 조회, 입출금 처리 (시뮬레이터/실전 구분)",High,5,MVP 개발,Backend Developer Agent,account;balance,Sprint 2,To Do,Backend
Task,계좌 모델 구현,"Account 엔티티, account_type (simulator/live), 초기 잔고 설정",Highest,1,계좌 관리 시스템,Backend Developer Agent,model,Sprint 2,To Do,Backend
Task,계좌 생성 API,"POST /api/accounts, 계좌 타입 선택, 초기 자금 설정",High,2,계좌 관리 시스템,Backend Developer Agent,api,Sprint 2,To Do,Backend
Task,계좌 목록 조회,"GET /api/accounts, 사용자별 계좌 목록",Medium,1,계좌 관리 시스템,Backend Developer Agent,api,Sprint 2,To Do,Backend
Task,잔고 조회 API,"GET /api/accounts/:id/balance, 현금 잔고 + 평가액",High,1,계좌 관리 시스템,Backend Developer Agent,api,Sprint 2,To Do,Backend
Task,입금 처리,"POST /api/accounts/:id/deposit, 트랜잭션 기록",High,2,계좌 관리 시스템,Backend Developer Agent,api;transaction,Sprint 2,To Do,Backend
Task,출금 처리,"POST /api/accounts/:id/withdraw, 잔고 확인, 출금 가능 금액 검증",High,2,계좌 관리 시스템,Backend Developer Agent,api;transaction,Sprint 2,To Do,Backend
Story,주문 처리 시스템,"주문 생성/취소, 시뮬레이터 엔진, 체결 처리, 주문 상태 추적",Highest,13,MVP 개발,Backend Developer Agent,trading;order,Sprint 2,To Do,Backend
Task,Order 모델 구현,"주문 엔티티, 주문 상태 머신 (pending/filled/cancelled), Execution 관계",Highest,3,주문 처리 시스템,Backend Developer Agent,model,Sprint 2,To Do,Backend
Task,시뮬레이터 엔진 구현,"가상 체결 로직, 시장가/지정가 처리, 슬리피지 시뮬레이션",Highest,5,주문 처리 시스템,Backend Developer Agent,trading-engine,Sprint 2,To Do,Backend
Task,주문 생성 API,"POST /api/orders, 주문 검증 (잔고, 가격, 수량)",Highest,3,주문 처리 시스템,Backend Developer Agent,api,Sprint 2,To Do,Backend
Task,주문 취소 API,"DELETE /api/orders/:id, 미체결 주문만 취소 가능",High,2,주문 처리 시스템,Backend Developer Agent,api,Sprint 2,To Do,Backend
Task,주문 목록 조회,"GET /api/orders, 필터링 (상태, 날짜), 페이징",Medium,1,주문 처리 시스템,Backend Developer Agent,api,Sprint 2,To Do,Backend
Task,주문 검증 로직,"잔고 확인, 최소 주문 수량, 가격 범위 검증",High,2,주문 처리 시스템,Backend Developer Agent,validation,Sprint 2,To Do,Backend
Task,체결 처리 로직,"Execution 생성, 잔고 차감/추가, Position 업데이트",Highest,3,주문 처리 시스템,Backend Developer Agent,execution,Sprint 2,To Do,Backend
Task,주문 상태 추적,"상태 변경 이벤트 로깅, 감사 추적",Medium,2,주문 처리 시스템,Backend Developer Agent,logging,Sprint 2,To Do,Backend
Story,포트폴리오 관리,"보유 종목 조회, 평가 손익, 수익률 계산, 자산 배분",High,8,MVP 개발,Backend Developer Agent,portfolio;position,Sprint 2,To Do,Backend
Task,Position 모델 구현,"보유 종목 엔티티, 평균 매입가 계산, 수량 관리",Highest,2,포트폴리오 관리,Backend Developer Agent,model,Sprint 2,To Do,Backend
Task,포트폴리오 조회 API,"GET /api/portfolio, 총 자산, 수익률, 보유 종목 요약",High,2,포트폴리오 관리,Backend Developer Agent,api,Sprint 2,To Do,Backend
Task,보유 종목 상세,"GET /api/portfolio/positions, 종목별 수량, 평가액, 손익",High,1,포트폴리오 관리,Backend Developer Agent,api,Sprint 2,To Do,Backend
Task,평가 손익 계산,"실시간 가격 기반 미실현 손익 계산, 실현 손익 합산",High,3,포트폴리오 관리,Backend Developer Agent,calculation,Sprint 2,To Do,Backend
Task,수익률 계산,"ROI, 총 수익률, 기간별 수익률 계산",Medium,2,포트폴리오 관리,Backend Developer Agent,calculation,Sprint 2,To Do,Backend
Task,자산 배분 분석,"종목별 비중, 섹터별 분류 (선택)",Low,1,포트폴리오 관리,Backend Developer Agent,analytics,Sprint 2,To Do,Backend
Story,Market Data Service 개발,"실시간 시세 스트리밍, Yahoo Finance/Alpha Vantage 연동, WebSocket 서버",High,13,MVP 개발,Data Engineer Agent,market-data;realtime,Sprint 2,To Do,Data
Task,프로젝트 초기화,"Python/Go 프로젝트 설정, FastAPI/Gin 프레임워크",High,1,Market Data Service 개발,Data Engineer Agent,setup,Sprint 2,To Do,Data
Task,Yahoo Finance API 연동,"yfinance 라이브러리 통합, 현재가/과거 데이터 조회",Highest,3,Market Data Service 개발,Data Engineer Agent,integration,Sprint 2,To Do,Data
Task,Alpha Vantage 연동,"실시간 시세 API, API Key 관리, Rate Limiting",High,3,Market Data Service 개발,Data Engineer Agent,integration,Sprint 2,To Do,Data
Task,데이터 정규화,"통합 데이터 포맷 정의 (symbol, price, volume, timestamp)",Medium,2,Market Data Service 개발,Data Engineer Agent,data-processing,Sprint 2,To Do,Data
Task,Redis 캐싱 구현,"시세 데이터 캐싱 (TTL 5초), 고속 조회",High,2,Market Data Service 개발,Data Engineer Agent,redis;caching,Sprint 2,To Do,Data
Task,REST API 구현,"GET /quote/:symbol, GET /history/:symbol, GET /orderbook/:symbol",High,3,Market Data Service 개발,Data Engineer Agent,api,Sprint 2,To Do,Data
Task,WebSocket 서버 구현,"실시간 스트리밍, 클라이언트 연결 관리",Highest,5,Market Data Service 개발,Data Engineer Agent,websocket,Sprint 2,To Do,Data
Task,구독 관리 시스템,"클라이언트별 심볼 구독/구독 취소, 브로드캐스팅",High,3,Market Data Service 개발,Data Engineer Agent,websocket,Sprint 2,To Do,Data
Task,에러 핸들링,"API 실패 시 재시도 로직, Fallback 메커니즘",Medium,2,Market Data Service 개발,Data Engineer Agent,error-handling,Sprint 2,To Do,Data
Story,Frontend - 기본 구조,"React 프로젝트, 라우팅, 상태 관리, API 클라이언트, TailwindCSS",Medium,8,MVP 개발,Frontend Developer Agent,frontend;setup,Sprint 3,To Do,Frontend
Task,React 프로젝트 생성,"Vite + TypeScript 설정, ESLint/Prettier",High,1,Frontend - 기본 구조,Frontend Developer Agent,setup,Sprint 3,To Do,Frontend
Task,라우팅 설정,"React Router v6, 페이지 구조 정의",High,1,Frontend - 기본 구조,Frontend Developer Agent,routing,Sprint 3,To Do,Frontend
Task,상태 관리 설정,"Zustand 설정, 전역 상태 관리",Medium,1,Frontend - 기본 구조,Frontend Developer Agent,state-management,Sprint 3,To Do,Frontend
Task,API 클라이언트 구현,"Axios + TanStack Query, 에러 처리, 인터셉터",High,3,Frontend - 기본 구조,Frontend Developer Agent,api-client,Sprint 3,To Do,Frontend
Task,인증 컨텍스트,"JWT 토큰 관리, localStorage, 자동 로그아웃",High,2,Frontend - 기본 구조,Frontend Developer Agent,auth,Sprint 3,To Do,Frontend
Task,TailwindCSS 설정,"스타일 시스템, 디자인 토큰, 다크모드 (선택)",Medium,1,Frontend - 기본 구조,Frontend Developer Agent,styling,Sprint 3,To Do,Frontend
Task,공통 컴포넌트,"Button, Input, Card, Modal, Toast 등",Medium,3,Frontend - 기본 구조,Frontend Developer Agent,components,Sprint 3,To Do,Frontend
Story,Frontend - 인증 화면,"로그인/회원가입 페이지, 폼 검증, Protected Route",High,5,MVP 개발,Frontend Developer Agent,frontend;auth,Sprint 3,To Do,Frontend
Task,로그인 페이지,"이메일/비밀번호 폼, 로그인 버튼, 에러 메시지",Highest,2,Frontend - 인증 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,회원가입 페이지,"사용자 정보 입력 폼, 비밀번호 확인, 약관 동의",High,3,Frontend - 인증 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,폼 검증,"React Hook Form + Zod, 실시간 검증, 에러 메시지",High,2,Frontend - 인증 화면,Frontend Developer Agent,validation,Sprint 3,To Do,Frontend
Task,인증 플로우 연동,"API 연동, JWT 토큰 저장, 로그인 상태 관리",High,2,Frontend - 인증 화면,Frontend Developer Agent,integration,Sprint 3,To Do,Frontend
Task,Protected Route,"인증 필요 페이지 보호, 미인증 시 리다이렉트",High,1,Frontend - 인증 화면,Frontend Developer Agent,routing,Sprint 3,To Do,Frontend
Story,Frontend - 주문 화면,"주문 폼, 주문 확인 모달, 주문 내역 테이블, 실시간 상태 업데이트",High,8,MVP 개발,Frontend Developer Agent,frontend;trading,Sprint 3,To Do,Frontend
Task,주문 폼 컴포넌트,"종목 선택, 수량/가격 입력, 매수/매도 선택",Highest,3,Frontend - 주문 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,주문 타입 선택,"시장가/지정가 토글, 조건부 표시",High,1,Frontend - 주문 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,매수/매도 버튼,"주문 제출, 로딩 상태, 성공/실패 처리",High,2,Frontend - 주문 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,주문 확인 모달,"주문 내용 확인, 최종 제출",Medium,2,Frontend - 주문 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,주문 내역 테이블,"과거 주문 목록, 페이징, 필터링 (상태, 날짜)",High,3,Frontend - 주문 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,실시간 주문 상태,"WebSocket으로 상태 업데이트, 토스트 알림",Medium,3,Frontend - 주문 화면,Frontend Developer Agent,websocket,Sprint 3,To Do,Frontend
Story,Frontend - 포트폴리오 화면,"포트폴리오 요약, 보유 종목 테이블, 자산 배분 차트, 수익률 그래프",Medium,8,MVP 개발,Frontend Developer Agent,frontend;portfolio,Sprint 3,To Do,Frontend
Task,포트폴리오 요약 카드,"총 자산, 현금, 평가액, 수익률, 손익 표시",High,2,Frontend - 포트폴리오 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,보유 종목 테이블,"종목명, 수량, 평균 매입가, 현재가, 평가액, 손익",High,3,Frontend - 포트폴리오 화면,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,자산 배분 차트,"Pie Chart (Recharts), 종목별 비중 표시",Medium,3,Frontend - 포트폴리오 화면,Frontend Developer Agent,chart,Sprint 3,To Do,Frontend
Task,수익률 그래프,"Line Chart, 일별 수익률 추이",Medium,3,Frontend - 포트폴리오 화면,Frontend Developer Agent,chart,Sprint 3,To Do,Frontend
Task,실시간 평가액 업데이트,"WebSocket 시세 반영, 자동 재계산",High,3,Frontend - 포트폴리오 화면,Frontend Developer Agent,websocket,Sprint 3,To Do,Frontend
Story,Frontend - 차트 및 시세,"주식 검색, 가격 차트, 호가창, 실시간 시세",Medium,8,MVP 개발,Frontend Developer Agent,frontend;market-data,Sprint 3,To Do,Frontend
Task,주식 검색 컴포넌트,"종목 자동완성, Debounce, API 연동",High,3,Frontend - 차트 및 시세,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,가격 차트 컴포넌트,"Candlestick 차트 (Recharts/TradingView), 일봉/주봉/월봉",High,4,Frontend - 차트 및 시세,Frontend Developer Agent,chart,Sprint 3,To Do,Frontend
Task,호가창 컴포넌트,"매수/매도 호가 10단계 표시, 실시간 업데이트",Medium,3,Frontend - 차트 및 시세,Frontend Developer Agent,ui,Sprint 3,To Do,Frontend
Task,실시간 시세 표시,"WebSocket 연결, 현재가/등락률 표시",High,3,Frontend - 차트 및 시세,Frontend Developer Agent,websocket,Sprint 3,To Do,Frontend
Task,차트 인터랙션,"줌, 팬, 툴팁, 크로스헤어",Low,2,Frontend - 차트 및 시세,Frontend Developer Agent,chart,Sprint 3,To Do,Frontend
Story,Broker Connector Service 구축,"증권사 API 연동, 키움증권 통합, API Key 암호화",Highest,13,실전 거래 연동,Backend Developer Agent,broker;integration,Sprint 4,To Do,Integration
Task,프로젝트 초기화,"Python FastAPI 프로젝트, 디렉토리 구조 설정",High,1,Broker Connector Service 구축,Backend Developer Agent,setup,Sprint 4,To Do,Integration
Task,Broker 인터페이스 정의,"추상 클래스 BrokerInterface, connect/place_order/cancel_order 등",Highest,2,Broker Connector Service 구축,Backend Developer Agent,architecture,Sprint 4,To Do,Integration
Task,키움증권 연동,"PyKiwoom 통합, OCX 제어, 로그인 플로우",Highest,5,Broker Connector Service 구축,Backend Developer Agent,kiwoom,Sprint 4,To Do,Integration
Task,계좌 연결 API,"POST /broker/connect, API Key 검증 및 저장",High,3,Broker Connector Service 구축,Backend Developer Agent,api,Sprint 4,To Do,Integration
Task,주문 전송 API,"POST /broker/order, 주문 형식 변환, 증권사 API 호출",Highest,3,Broker Connector Service 구축,Backend Developer Agent,api,Sprint 4,To Do,Integration
Task,계좌 동기화,"GET /broker/sync, 증권사 포지션과 로컬 DB 동기화",High,3,Broker Connector Service 구축,Backend Developer Agent,api,Sprint 4,To Do,Integration
Task,체결 수신 로직,"증권사 콜백 처리, Kafka로 이벤트 발행",High,4,Broker Connector Service 구축,Backend Developer Agent,callback,Sprint 4,To Do,Integration
Task,API Key 암호화 저장,"AES-256 암호화, 환경 변수로 마스터 키 관리",High,3,Broker Connector Service 구축,Backend Developer Agent,security,Sprint 4,To Do,Integration
Story,Trading Abstraction Layer,"ITradingEngine 인터페이스, Simulator/Live 엔진 래핑, 모드 전환",High,8,실전 거래 연동,Backend Developer Agent,trading-engine,Sprint 4,To Do,Backend
Task,ITradingEngine 인터페이스,"공통 인터페이스 정의, place_order/cancel_order/get_positions",Highest,2,Trading Abstraction Layer,Backend Developer Agent,architecture,Sprint 4,To Do,Backend
Task,SimulatorEngine 구현,"기존 시뮬레이터 로직 래핑, ITradingEngine 구현",High,3,Trading Abstraction Layer,Backend Developer Agent,trading-engine,Sprint 4,To Do,Backend
Task,LiveTradingEngine 구현,"Broker Connector 호출, ITradingEngine 구현",High,3,Trading Abstraction Layer,Backend Developer Agent,trading-engine,Sprint 4,To Do,Backend
Task,주문 라우팅 로직,"계좌 타입별 엔진 선택, Factory 패턴",High,2,Trading Abstraction Layer,Backend Developer Agent,routing,Sprint 4,To Do,Backend
Task,모드 전환 API,"POST /api/trading/switch-mode, 미체결 주문 확인, 경고",Medium,2,Trading Abstraction Layer,Backend Developer Agent,api,Sprint 4,To Do,Backend
Story,리스크 관리 시스템,"리스크 한도 설정, 주문 전 검증, Circuit Breaker, 리스크 대시보드",High,8,실전 거래 연동,Backend Developer Agent,risk-management,Sprint 4,To Do,Backend
Task,리스크 한도 모델,"RiskLimit 엔티티, 일일 손실/포지션 크기/주문 금액 한도",Highest,1,리스크 관리 시스템,Backend Developer Agent,model,Sprint 4,To Do,Backend
Task,한도 설정 API,"PUT /api/risk/limits, 사용자별 리스크 프로필 저장",High,2,리스크 관리 시스템,Backend Developer Agent,api,Sprint 4,To Do,Backend
Task,주문 전 검증,"잔고 확인, 한도 확인, 포지션 크기 검증",Highest,3,리스크 관리 시스템,Backend Developer Agent,validation,Sprint 4,To Do,Backend
Task,Circuit Breaker,"일일 손실 한도 초과 시 모든 거래 차단, 자동 복구",High,3,리스크 관리 시스템,Backend Developer Agent,circuit-breaker,Sprint 4,To Do,Backend
Task,리스크 알림,"한도 80% 근접 시 경고, 초과 시 차단 알림",Medium,2,리스크 관리 시스템,Backend Developer Agent,notification,Sprint 4,To Do,Backend
Task,리스크 대시보드 API,"GET /api/risk/exposure, 현재 리스크 노출도 조회",Medium,2,리스크 관리 시스템,Backend Developer Agent,api,Sprint 4,To Do,Backend
Story,Frontend - 실전 거래 UI,"증권사 연결, 모드 전환, 실전 주문 확인, 리스크 설정",High,8,실전 거래 연동,Frontend Developer Agent,frontend;live-trading,Sprint 4,To Do,Frontend
Task,증권사 연결 페이지,"증권사 선택, API Key/Secret 입력 폼, 연결 테스트",High,3,Frontend - 실전 거래 UI,Frontend Developer Agent,ui,Sprint 4,To Do,Frontend
Task,모드 전환 스위치,"시뮬레이터 ↔ 실전 토글, 현재 모드 명확히 표시",High,2,Frontend - 실전 거래 UI,Frontend Developer Agent,ui,Sprint 4,To Do,Frontend
Task,실전 주문 확인 모달,"추가 확인 단계, 위험 경고, PIN 입력 (선택)",High,2,Frontend - 실전 거래 UI,Frontend Developer Agent,ui,Sprint 4,To Do,Frontend
Task,리스크 한도 설정 화면,"일일 손실/포지션 크기/주문 금액 입력, 저장",Medium,3,Frontend - 실전 거래 UI,Frontend Developer Agent,ui,Sprint 4,To Do,Frontend
Task,리스크 대시보드,"현재 노출도, 한도 대비 사용량, 진행 바",Medium,3,Frontend - 실전 거래 UI,Frontend Developer Agent,ui,Sprint 4,To Do,Frontend
Task,경고 알림 UI,"리스크 경고 토스트, Circuit Breaker 알림",Medium,1,Frontend - 실전 거래 UI,Frontend Developer Agent,ui,Sprint 4,To Do,Frontend
Story,성과 분석 시스템,"성과 지표 계산 (Sharpe Ratio, MDD), 일별 수익률, 월간 리포트",Medium,8,고급 기능,Backend Developer Agent,analytics,Sprint 5,To Do,Backend
Task,성과 지표 계산,"Sharpe Ratio, Maximum Drawdown, Win Rate, 평균 수익/손실",High,3,성과 분석 시스템,Backend Developer Agent,calculation,Sprint 5,To Do,Backend
Task,일별 수익률 API,"GET /api/analytics/daily-returns, 기간별 수익률 조회",High,2,성과 분석 시스템,Backend Developer Agent,api,Sprint 5,To Do,Backend
Task,월간 리포트 생성,"PDF 리포트 생성 (ReportLab), 거래 요약, 차트",Medium,3,성과 분석 시스템,Backend Developer Agent,report,Sprint 5,To Do,Backend
Task,거래 통계 API,"GET /api/analytics/stats, 승률, 평균 수익/손실, 거래 횟수",Medium,2,성과 분석 시스템,Backend Developer Agent,api,Sprint 5,To Do,Backend
Task,종목별 성과 분석,"종목별 수익률 랭킹, 최고/최악 종목",Low,2,성과 분석 시스템,Backend Developer Agent,analytics,Sprint 5,To Do,Backend
Story,백테스팅 엔진,"과거 데이터 로드, 전략 실행, 성과 계산, 결과 저장",Medium,13,고급 기능,Backend Developer Agent,backtest,Sprint 5,To Do,Backend
Task,과거 데이터 로드,"Market Data Service에서 historical 데이터 가져오기",High,3,백테스팅 엔진,Backend Developer Agent,data,Sprint 5,To Do,Backend
Task,전략 인터페이스 정의,"사용자 정의 전략 구조, on_bar/on_order 콜백",High,3,백테스팅 엔진,Backend Developer Agent,architecture,Sprint 5,To Do,Backend
Task,백테스트 실행 엔진,"과거 데이터로 시뮬레이션, 주문 실행, 포지션 관리",Highest,5,백테스팅 엔진,Backend Developer Agent,backtest-engine,Sprint 5,To Do,Backend
Task,성과 계산,"수익률, Sharpe Ratio, MDD, 거래 횟수",High,3,백테스팅 엔진,Backend Developer Agent,calculation,Sprint 5,To Do,Backend
Task,백테스트 결과 저장,"Report 모델, 결과 영구 저장",Medium,2,백테스팅 엔진,Backend Developer Agent,storage,Sprint 5,To Do,Backend
Task,백테스트 API,"POST /api/analytics/backtest, GET /api/analytics/backtests/:id",Medium,3,백테스팅 엔진,Backend Developer Agent,api,Sprint 5,To Do,Backend
Story,알림 시스템,"가격 알림 설정, 실시간 모니터링, 이메일/WebSocket 알림",Low,5,고급 기능,Backend Developer Agent,notification,Sprint 5,To Do,Backend
Task,Alert 모델 구현,"가격 알림 설정 엔티티, 알림 타입 (price_above/price_below)",Medium,1,알림 시스템,Backend Developer Agent,model,Sprint 5,To Do,Backend
Task,알림 설정 API,"POST /api/alerts, GET /api/alerts, DELETE /api/alerts/:id",Medium,2,알림 시스템,Backend Developer Agent,api,Sprint 5,To Do,Backend
Task,가격 모니터링,"Celery 백그라운드 작업, 실시간 가격 체크, 알림 트리거",High,3,알림 시스템,Backend Developer Agent,celery,Sprint 5,To Do,Backend
Task,이메일 발송,"SendGrid 연동, 이메일 템플릿 작성",Medium,3,알림 시스템,Backend Developer Agent,email,Sprint 5,To Do,Backend
Task,WebSocket 알림,"실시간 브라우저 알림, Socket.io 이벤트 발행",Medium,2,알림 시스템,Backend Developer Agent,websocket,Sprint 5,To Do,Backend
Story,Frontend - 분석 & 백테스팅,"성과 대시보드, 백테스팅 폼, 결과 표시, 거래 통계, 알림 설정",Medium,8,고급 기능,Frontend Developer Agent,frontend;analytics,Sprint 5,To Do,Frontend
Task,성과 대시보드,"지표 카드 (Sharpe, MDD, 수익률), 일별 수익률 차트",Medium,3,Frontend - 분석 & 백테스팅,Frontend Developer Agent,ui,Sprint 5,To Do,Frontend
Task,백테스팅 폼,"전략 코드 입력, 기간 선택, 초기 자금 설정",Medium,3,Frontend - 분석 & 백테스팅,Frontend Developer Agent,ui,Sprint 5,To Do,Frontend
Task,백테스트 결과 표시,"수익률 차트, 거래 로그 테이블, MDD 차트",Medium,3,Frontend - 분석 & 백테스팅,Frontend Developer Agent,ui,Sprint 5,To Do,Frontend
Task,거래 통계 페이지,"승률, 평균 수익/손실, 거래 횟수, 종목별 성과",Low,3,Frontend - 분석 & 백테스팅,Frontend Developer Agent,ui,Sprint 5,To Do,Frontend
Task,알림 설정 페이지,"가격 알림 추가/삭제, 알림 내역 조회",Low,2,Frontend - 분석 & 백테스팅,Frontend Developer Agent,ui,Sprint 5,To Do,Frontend
Story,CI/CD 파이프라인,"GitHub Actions 워크플로우, 자동 테스트, Docker 빌드, 배포",Medium,5,인프라 & 배포,DevOps Agent,cicd,Sprint 1,To Do,Infrastructure
Task,GitHub Actions 워크플로우,".github/workflows/ 설정, push/PR 트리거",High,2,CI/CD 파이프라인,DevOps Agent,github-actions,Sprint 1,To Do,Infrastructure
Task,자동 테스트 실행,"pytest (Backend), jest (Frontend) 실행, 커버리지 체크",High,1,CI/CD 파이프라인,DevOps Agent,testing,Sprint 1,To Do,Infrastructure
Task,Docker 이미지 빌드,"서비스별 이미지 빌드, 멀티 스테이지 빌드",High,2,CI/CD 파이프라인,DevOps Agent,docker,Sprint 1,To Do,Infrastructure
Task,이미지 레지스트리 푸시,"Docker Hub/GHCR에 이미지 푸시, 태깅 전략",Medium,1,CI/CD 파이프라인,DevOps Agent,registry,Sprint 1,To Do,Infrastructure
Task,배포 스크립트,"SSH로 서버 접속, docker-compose pull, 재시작",Medium,3,CI/CD 파이프라인,DevOps Agent,deployment,Sprint 1,To Do,Infrastructure
Story,모니터링 & 로깅,"구조화된 로깅, 헬스 체크, Uptime 모니터링, Sentry 에러 추적",Medium,5,인프라 & 배포,DevOps Agent,monitoring,Sprint 2,To Do,Infrastructure
Task,로깅 설정,"구조화된 로그 (JSON), 로그 레벨 관리, 로테이션",High,2,모니터링 & 로깅,DevOps Agent,logging,Sprint 2,To Do,Infrastructure
Task,헬스 체크 엔드포인트,"GET /health (Liveness), GET /ready (Readiness)",High,1,모니터링 & 로깅,DevOps Agent,health-check,Sprint 2,To Do,Infrastructure
Task,Uptime 모니터링,"UptimeRobot 설정, 다운타임 알림 (이메일/Slack)",Medium,1,모니터링 & 로깅,DevOps Agent,uptime,Sprint 2,To Do,Infrastructure
Task,에러 추적,"Sentry 통합, 에러 발생 시 알림, 스택 트레이스",High,2,모니터링 & 로깅,DevOps Agent,sentry,Sprint 2,To Do,Infrastructure
Task,로그 수집,"Docker logs → 파일 저장, Fluentd/Logstash (선택)",Low,2,모니터링 & 로깅,DevOps Agent,log-collection,Sprint 2,To Do,Infrastructure
